0,306897631291223,306897631291223,9223372036854775807,0,306897631781522,306897631819292,306897632918907,306897634899215,306897635870138,306897635991445,306897638409907,306897643797138,306897645901138,
0,306897648005103,306897648005103,9223372036854775807,0,306897648445368,306897648450292,306897648932292,306897649087522,306897649394061,306897649490830,306897650280676,306897653217599,306897655191061,
0,306897664719288,306897664719288,9223372036854775807,0,306897665113368,306897665149445,306897665563445,306897665696061,306897665942061,306897666033215,306897666832676,306897669439522,306897671446830,
0,306897681433412,306897681433412,9223372036854775807,0,306897681831830,306897681868368,306897682303445,306897682442061,306897682698984,306897682800061,306897683506907,306897686115445,306897688433907,
0,306897698147351,306897698147351,9223372036854775807,0,306897698568138,306897698604368,306897699053599,306897699201061,306897699459215,306897699564907,306897700361138,306897702919522,306897705063753,
0,306897714861289,306897714861289,9223372036854775807,0,306897715257599,306897715293138,306897715789984,306897715926368,306897716232753,306897716329599,306897717155215,306897719987830,306897722019292,
0,306897731575400,306897731575400,9223372036854775807,0,306897731942445,306897731978445,306897732449599,306897732569984,306897732801599,306897732894753,306897733606599,306897736058292,306897738390445,
0,306897748289539,306897748289539,9223372036854775807,0,306897748637907,306897748759984,306897751295676,306897751475830,306897751720984,306897751829292,306897752685138,306897755098676,306897756834753,
0,306897765003839,306897765003839,306897747000000,306897748500000,306897765373830,306897773682061,306897773815907,306897774656368,306897776238676,306897776345215,306897777676445,306897780640215,306897783981907,
0,306897781718008,306897781718008,9223372036854775807,0,306897782142676,306897782298753,306897782590907,306897782735138,306897783030984,306897784959522,306897785826138,306897789000368,306897790807445,
0,306897798431918,306897798431918,306897779000000,306897779000000,306897798801753,306897799946907,306897800175138,306897801143215,306897801818061,306897801922522,306897803761522,306897808536676,306897810368522,
0,306897815145879,306897815145879,306897805000000,306897805000000,306897815561292,306897817068753,306897817377292,306897817551753,306897817829522,306897817938830,306897818674292,306897821328215,306897823460984,
0,306897831859974,306897831859974,306897822000000,306897826859974,306897832243215,306897833882215,306897834069753,306897834186753,306897834410522,306897834518292,306897835275215,306897838490138,306897840696522,
0,306897848573940,306897848573940,306897839000000,306897843573940,306897848970830,306897850385907,306897857276676,306897857968599,306897859430984,306897859583676,306897860984907,306897863544368,306897865610138,
0,306897865287996,306897865287996,306897855000000,306897860287996,306897870097138,306897871723292,306897871959138,306897872144292,306897872391445,306897872489984,306897874111753,306897878819292,306897881414522,
0,306897882001090,306897882001090,306897877000000,306897877000000,306897885221907,306897886726215,306897886985215,306897888472522,306897889425061,306897889530061,306897891785984,306897897864984,306897901184984,
0,306897898715081,306897898715081,306897892000000,306897893715081,306897899637522,306897901863292,306897902608445,306897902777368,306897903066599,306897903167368,306897903968753,306897907243445,306897909997215,
0,306897915428924,306897915428924,306897907000000,306897910428924,306897915793907,306897917537138,306897917758138,306897917931215,306897918359830,306897918712138,306897919504599,306897922660215,306897924599368,
0,306897932142977,306897932142977,306897923000000,306897927142977,306897932526292,306897934559215,306897934811676,306897934963445,306897935260138,306897935424215,306897936378676,306897939438599,306897941458368,
0,306897948857027,306897948857027,9223372036854775807,0,306897949271676,306897949308753,306897950307445,306897950486215,306897950787830,306897951000599,306897951692445,306897954199599,306897955870292,
0,306897965570912,306897965570912,9223372036854775807,0,306897965944292,306897965948522,306897974332753,306897975001599,306897976910984,306897977030599,306897978468676,306897981387676,306897984484292,
0,306897982284757,306897982284757,9223372036854775807,0,306897983867368,306897983922215,306897984538138,306897984739984,306897985205215,306897985375215,306897986148753,306897989062368,306897991140368,
0,306897998998216,306897998998216,9223372036854775807,0,306897999439676,306897999474292,306897999852907,306898001407830,306898002355830,306898002475445,306898004562292,306898009897522,306898011998830,
0,306898015712126,306898015712126,9223372036854775807,0,306898016159445,306898016163368,306898016646061,306898016791061,306898017050753,306898017146984,306898017864292,306898020956138,306898022987215,
0,306898032426049,306898032426049,9223372036854775807,0,306898032829138,306898032864753,306898033542061,306898033673368,306898033920061,306898034022215,306898034880753,306898037356676,306898039358753,
0,306898049140114,306898049140114,9223372036854775807,0,306898049539599,306898049575599,306898050045753,306898050182830,306898050436292,306898050544522,306898051293753,306898054152753,306898056247753,
0,306898065854155,306898065854155,9223372036854775807,0,306898066241292,306898066277368,306898071978907,306898072688753,306898074906907,306898075027676,306898078173138,306898081542676,306898084400599,
0,306898082567430,306898082567430,9223372036854775807,0,306898083145061,306898083187292,306898086048676,306898086205138,306898086433599,306898086577061,306898087508753,306898090096984,306898092480138,
0,306898099281067,306898099281067,306898082000000,306898084500000,306898099680522,306898101290368,306898101888138,306898102325445,306898102813522,306898102915061,306898103687292,306898106236061,306898107953830,
0,306898115995006,306898115995006,306898107000000,306898107000000,306898116397753,306898117754984,306898117953368,306898118082368,306898118321830,306898118443061,306898119200830,306898121770445,306898123627830,
0,306898132709203,306898132709203,306898123000000,306898127709203,306898133074368,306898134490445,306898134598445,306898134728830,306898135006676,306898135102830,306898135776907,306898138609445,306898140859984,
0,306898149423550,306898149423550,306898139000000,306898144423550,306898149784599,306898161032830,306898161065984,306898161721676,306898163488061,306898163616599,306898164970215,306898168193292,306898170032984,
0,306898182851665,306898182851665,306898166000000,306898166000000,306898183269599,306898184724753,306898184833138,306898184998061,306898185299907,306898185418830,306898186130061,306898188593984,306898190191676,
0,306898199565851,306898199565851,306898190000000,306898190000000,306898199915984,306898201445445,306898201532215,306898201788984,306898202419445,306898202540984,306898203329984,306898206825522,306898209953907,
0,306898216280128,306898216280128,306898206000000,306898211280128,306898216654292,306898228187061,306898228247445,306898228963522,306898230846676,306898230970445,306898232416522,306898235966522,306898238007445,
